id,label,username,name,type,tweet_count,in_degree,out_degree,weighted_in_degree,weighted_out_degree,years,score
352226843,@MundoBurbu,MundoBurbu,Mundo Burbu/♥️🌹 🇵🇸,user,20,32,35,48,57,2014:2|2015:8|2016:5|2017:4|2019:1,165
64223584,@CarlaAntonelli,CarlaAntonelli,Carla Antonelli / 🏳️‍⚧️☂️,user,15,33,28,54,64,2014:2|2015:11|2017:2,163
1388460361,@Postureo_CANT,Postureo_CANT,Postureo Cántabro 💢 Presume de Cantabria,user,13,41,27,72,52,2014:5|2015:5|2016:2|2018:1,163
1077472262,@yolapons,yolapons,YOLANDA /❤️💜,user,14,5,75,8,113,2017:2|2018:5|2019:7,163
258439147,@mvalerio_gu,mvalerio_gu,Magdalena Valerio,user,2,60,15,137,16,2016:1|2018:1,159
874027152718614529,@VidalesVega,VidalesVega,Nuria Vidales Vega,user,7,33,26,99,38,2017:1|2018:1|2019:5,158
3031153951,@DacioFelix,DacioFelix,Felix Dacio Alonso.C,user,8,12,63,16,117,2017:4|2018:1|2019:3,157
299098109,@jugarsa,jugarsa,Jugarsa,user,8,12,27,16,115,2017:7|2018:1,155
117341231,@josecdiez,josecdiez,José Carlos Díez,user,17,43,14,66,37,2013:1|2014:11|2015:4|2016:1,154
703219215839399936,@kuki007b,kuki007b,❤️‍🩹💙kuki007b💚🍏⚖️⚖️ 🕊🇺🇦,user,10,4,53,10,114,2018:1|2019:9,154
2405603445,@matiasdelara,matiasdelara,Gonzalo,user,1,41,13,138,13,2019:1,154
1459631161,@Peppepireys12,Peppepireys12,María,user,14,0,78,0,112,2016:5|2017:2|2018:7,154
78863928,@Fgarea,Fgarea,Fernando Garea,user,29,7,24,7,59,2011:1|2012:1|2013:25|2017:2,153
1009051197377077248,@Carrasco6Maria,Carrasco6Maria,María Araceli Carrasco6/❤️,user,10,8,42,8,114,2018:6|2019:4,152
787303255860707328,@RMrosacastny,RMrosacastny,R.maria/♥️,user,12,3,63,3,113,2017:7|2018:2|2019:3,152
4829313214,@pdiaz222f,pdiaz222f,Pilar Diaz Rodriguez,user,6,14,21,69,64,2019:6,151
222634131,@mablanco60,mablanco60,Angeles Blanco Rguez,user,4,4,50,6,132,2018:3|2019:1,150
796480544951455748,@manuelserranoga,manuelserranoga,Manuel Serrano,user,8,6,22,22,104,2017:8,150
2847170283,@pilardelcamino,pilardelcamino,pilardelcamino.,user,6,24,16,53,78,2019:6,149
67165437,@anaisbernal,anaisbernal,Ana Bernal-Triviño,user,5,8,56,25,107,2018:3|2019:2,147
149907378,@jlgallo75,jlgallo75,José Luis Gallo 🇪🇺 💢,user,9,33,28,76,44,2014:2|2016:4|2017:2|2019:1,147
215792549,@oscar_puente_,oscar_puente_,Óscar Puente,user,1,66,1,142,1,2018:1,146
1016295700328480769,@Migueln53227148,Migueln53227148,Miguel Ángel/❤️ 🔻,user,12,12,50,12,97,2019:12,145
383442373,@GlezMonterrubio,GlezMonterrubio,GGlezMonterrubio,user,10,18,18,49,65,2016:1|2017:5|2018:4,144
2647620872,@FunesGallardo,FunesGallardo,Antonio Funes,user,4,13,19,74,57,2017:4,143
558921656,@mjserranoGmez,mjserranoGmez,mj serrano,user,4,21,42,71,59,2018:4,142
136376991,@jagg2016,jagg2016,Jose A.,user,13,13,32,17,85,2014:13,141
2879899311,@RuizdeDiego3000,RuizdeDiego3000,Víctor J. Ruiz de Diego / 🏛,user,6,9,55,12,111,2018:6,141
584883998,@Mabel_Cohe,Mabel_Cohe,Mabel Cobo,user,11,21,20,58,48,2015:5|2016:1|2017:1|2018:1|2019:3,139
837234803430805505,@XoanXoann,XoanXoann,AQUÍ y AHORA,user,6,13,49,49,72,2017:2|2018:4,139
1551467779,@FranDiez_,FranDiez_,Francisco Díez,user,13,22,37,43,56,2014:2|2015:6|2016:1|2017:3|2019:1,138
2008138072492535808,2008138072492535808,,,derived,0,22,0,137,0,,137
4185569559,@fatimar56,fatimar56,Fatima🍉,user,11,11,56,12,91,2018:2|2019:9,136
1883499115,@PugaGmail,PugaGmail,LIBERTAD Y REPÚBLICA.,user,13,14,58,19,78,2016:1|2017:5|2018:4|2019:3,136
2610041328,2610041328,,,derived,0,108,0,135,0,,135
569869400,@francis14754304,francis14754304,Francisco Palacios 🇪🇦 🇵🇸 🇱🇧,user,20,1,7,2,70,2016:20,132
483155995,@Moggio3,Moggio3,MOGGIO3/❤🌹,user,13,1,44,1,92,2017:1|2018:4|2019:8,132
1644830538572627968,1644830538572627968,,,derived,0,73,0,132,0,,132
20509689,20509689,,,derived,0,71,0,132,0,,132
1147717680,@__Gonzalos__,__Gonzalos__,Gonzalo,user,17,13,30,23,57,2017:1|2019:16,131
933309177623121921,@carmencalvo_,carmencalvo_,Carmen Calvo,user,0,72,0,130,0,,130
290455346,@CristinaCabezon,CristinaCabezon,🌹100%Andaluza,user,6,56,27,73,38,2014:2|2015:2|2016:1|2017:1,129
338379767,@Lorenamp82,Lorenamp82,Lorena Morales,user,2,36,39,83,40,2018:2,129
